FOLIO,VIV_SEL,HOGAR,N_REN,P12_1_1,P12_1_2,P12_1_3,P12_2,P12_3_1,P12_3_2,P12_3_3,P12_3_4,P12_3_5,P12_4_1,P12_4_2,P12_4_3,P12_4_4,P12_4_5,P12_4_6,P12_5_1,P12_5_2,P12_5_3,P12_5_4,P12_5_5,P12_5_6,P12_5_7,P12_6_1,P12_6_2,P12_6_3,P12_6_4,P12_6_5,P12_6_6,ENT,EST_DIS,UPM_DIS,FACTOR
0703847,08,1,02,1,1,1,3,4,5,4,3,4,2,5,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,07,107,0001417,2315
0703847,09,1,01,2,2,2,3,4,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,107,0001417,1768
0703847,10,1,01,2,2,2,3,4,3,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,107,0001417,1768
0703847,11,1,01,1,1,1,2,4,5,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,107,0001417,772
0703847,12,1,01,1,2,2,3,4,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,107,0001417,772
0703847,13,1,03,1,1,1,2,4,5,3,2,1,2,2,1,2,1,3,1,1,1,1,1,1,1,2,2,2,2,2,2,07,107,0001417,2315
0703847,14,1,01,2,2,2,9,4,4,5,3,1,3,2,2,2,1,3,2,2,1,2,1,2,2,2,2,2,2,2,2,07,107,0001417,884
0703847,15,1,02,2,2,2,9,4,5,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,07,107,0001417,1543
0703847,16,1,03,2,2,2,2,3,2,2,2,1,1,5,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,07,107,0001417,2315
0703847,17,1,01,2,2,2,1,3,1,1,1,1,3,3,1,1,1,3,1,1,3,1,1,3,3,2,1,2,2,2,2,07,107,0001417,1768
0703847,18,1,01,2,2,2,2,4,5,3,3,5,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,107,0001417,1768
0703847,19,1,01,2,2,2,2,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,107,0001417,1768
0703847,20,1,01,2,2,2,4,4,4,3,3,5,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,07,107,0001417,1543
0703995,01,1,01,1,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001418,2626
0703995,02,1,01,2,1,1,2,3,4,5,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,106,0001418,2626
0703995,03,1,02,2,2,2,4,4,5,3,4,4,4,5,3,4,3,2,2,4,3,3,3,2,3,2,1,2,2,2,2,07,106,0001418,5728
0703995,04,1,02,2,2,2,2,2,5,1,1,1,2,5,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,07,106,0001418,2291
0703995,05,1,03,1,1,1,3,4,4,4,3,2,3,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,07,106,0001418,3939
0703995,06,1,01,2,2,2,3,4,4,5,4,4,3,4,3,4,4,3,1,3,1,1,4,3,4,2,2,2,2,2,2,07,106,0001418,2626
0703995,06,2,02,1,1,1,3,1,1,4,3,1,3,1,1,1,1,3,1,3,1,1,1,2,1,2,2,2,2,2,2,07,106,0001418,2291
0703995,07,1,02,1,1,1,2,4,4,5,3,5,3,2,2,2,3,2,2,1,1,2,1,2,2,2,2,2,2,2,2,07,106,0001418,2291
0703995,08,1,02,2,2,2,3,4,4,3,3,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,07,106,0001418,5252
0703995,10,1,01,2,1,1,3,4,3,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,106,0001418,2626
0703995,11,1,06,2,1,1,2,2,3,4,2,2,2,5,2,1,1,1,1,1,1,2,3,2,3,2,1,2,2,2,2,07,106,0001418,6874
0703995,12,1,02,2,2,2,4,4,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001418,3437
0703995,13,1,01,1,1,2,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001418,1146
0703995,14,1,02,1,1,2,2,3,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,106,0001418,3939
0703995,15,1,02,1,1,1,1,3,4,3,2,1,2,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,07,106,0001418,2291
0703995,15,2,01,1,1,2,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,106,0001418,2626
0703995,16,1,01,1,1,1,2,4,4,5,3,3,2,3,1,2,1,1,2,3,1,2,1,1,1,2,2,2,2,2,9,07,106,0001418,2626
0703995,17,1,03,1,1,2,1,2,5,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,07,106,0001418,3437
0703995,18,1,02,1,9,1,1,4,4,5,3,5,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001418,2291
0703995,19,1,01,1,9,9,3,4,5,4,3,3,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001418,2291
0704218,01,1,01,1,2,2,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,098,0001419,1654
0704218,02,1,01,2,2,2,9,1,3,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,07,098,0001419,722
0704218,03,1,02,1,1,2,9,9,4,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,098,0001419,1443
0704218,03,2,02,2,2,2,9,4,5,4,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,07,098,0001419,1443
0704218,04,1,01,2,1,1,3,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,098,0001419,722
0704218,05,1,02,1,1,1,3,4,4,3,3,3,2,1,3,1,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,07,098,0001419,1654
0704325,01,1,03,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001420,3439
0704325,02,1,04,1,9,9,3,4,4,4,3,1,3,2,3,3,2,2,3,3,2,2,4,3,3,2,1,2,2,2,2,07,106,0001420,6879
0704325,03,1,01,2,1,1,3,4,5,4,3,5,3,5,3,2,2,3,3,4,4,2,3,3,2,2,1,2,2,2,2,07,106,0001420,2293
0704325,04,1,03,9,2,2,2,4,5,4,3,4,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,106,0001420,5002
0704325,06,1,02,2,2,2,9,4,5,5,4,5,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001420,4002
0704325,07,1,01,1,1,1,9,4,4,5,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001420,2293
0704325,07,2,01,1,2,2,3,4,5,5,3,5,4,4,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,2,2,07,106,0001420,2293
0704325,08,1,04,1,1,1,3,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001420,4586
0704325,09,1,01,2,2,2,9,4,4,5,4,5,4,3,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001420,2293
0704325,10,1,02,2,2,2,4,4,5,4,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,106,0001420,4002
0704325,11,1,01,2,2,2,1,3,5,5,4,5,3,5,3,3,3,2,3,4,2,2,2,1,1,2,2,2,2,2,2,07,106,0001420,3001
0704325,12,1,05,1,1,1,3,3,4,4,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,07,106,0001420,5002
0704325,13,1,02,1,1,1,9,4,4,5,4,5,4,4,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001420,4586
0704325,15,1,01,1,1,2,3,4,5,5,2,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,106,0001420,2001
0704325,16,1,01,2,2,1,2,5,4,3,5,5,4,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,07,106,0001420,4586
0704325,17,1,02,1,1,1,3,4,4,2,3,1,4,3,1,1,3,1,1,1,1,1,1,3,1,2,1,1,2,2,2,07,106,0001420,2001
0704325,18,1,01,2,1,1,2,4,4,5,3,5,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,07,106,0001420,3439
0704325,19,1,02,1,1,1,1,4,5,4,4,4,3,5,1,3,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,106,0001420,2001
0704325,20,1,02,2,2,2,3,4,5,4,2,4,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,106,0001420,2001
0704478,01,1,03,2,2,2,2,3,5,3,3,2,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,105,0001421,3064
0704478,03,1,02,1,1,1,1,2,5,5,2,1,4,5,2,3,1,3,1,2,2,1,3,1,2,2,2,2,2,2,2,07,105,0001421,3064
0704478,04,1,01,1,1,2,3,3,3,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,07,105,0001421,2634
0704478,05,1,01,1,2,2,1,4,4,3,3,5,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,07,105,0001421,878
0704478,06,1,02,1,2,2,2,2,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,105,0001421,2298
0704478,07,1,02,9,2,2,9,4,5,5,5,5,1,5,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,07,105,0001421,1532
0704478,08,1,02,1,1,1,1,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001421,1532
0704478,09,1,01,2,2,2,9,2,5,5,3,5,2,5,2,3,1,3,1,1,2,2,1,2,2,2,2,2,2,2,2,07,105,0001421,878
0704478,10,1,03,1,1,1,3,2,1,2,1,1,3,2,1,2,2,2,1,1,1,1,1,2,2,1,2,1,1,2,2,07,105,0001421,3511
0704478,11,1,02,2,2,2,3,3,5,4,3,3,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,07,105,0001421,1532
0704478,12,1,02,2,2,1,3,2,4,3,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001421,1532
0704478,12,2,01,1,2,2,2,4,5,5,5,5,3,3,1,2,2,2,1,3,2,2,1,1,2,2,2,2,2,2,2,07,105,0001421,1756
0704478,13,1,01,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,1,07,105,0001421,1756
0704478,14,1,03,1,2,2,3,3,3,5,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,105,0001421,2298
0704478,15,1,02,2,2,2,1,4,5,3,3,5,1,5,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001421,2634
0704478,16,1,01,2,2,2,3,4,5,3,3,2,3,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,07,105,0001421,1756
0704478,17,1,02,1,2,2,4,2,2,4,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001421,3064
0704478,18,1,03,2,2,2,1,2,5,2,1,1,4,5,3,4,3,3,1,1,2,1,3,2,3,2,2,2,2,2,2,07,105,0001421,2298
0704478,19,1,01,2,2,2,3,3,5,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,07,105,0001421,3511
0704478,20,1,01,2,2,2,3,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,07,105,0001421,3511
0704488,01,1,01,2,2,2,3,4,4,4,3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,3217
0704488,02,1,02,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,07,104,0001422,2807
0704488,03,1,02,1,1,2,3,4,4,4,5,5,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,104,0001422,6434
0704488,04,1,02,1,1,1,3,4,4,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,07,104,0001422,4211
0704488,06,1,01,1,1,1,3,3,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,3217
0704488,07,1,01,2,2,2,1,4,5,4,3,5,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,1404
0704488,08,1,03,2,1,2,3,3,1,1,2,2,4,3,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,2,2,07,104,0001422,4211
0704488,10,1,01,2,2,2,9,2,5,5,3,5,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,2807
0704488,11,1,03,1,1,1,2,4,5,5,4,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,2807
0704488,12,1,02,2,2,2,2,4,4,3,1,5,3,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,07,104,0001422,3217
0704488,13,1,04,1,2,2,1,3,5,4,3,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,104,0001422,5614
0704488,14,1,03,1,1,1,3,3,2,2,2,1,2,5,1,2,3,2,2,1,2,2,2,3,1,2,1,2,2,2,2,07,104,0001422,4211
0704488,15,1,02,2,2,2,2,4,4,4,2,3,2,3,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,2807
0704488,15,2,02,2,2,2,4,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,2807
0704488,15,3,02,2,2,2,4,1,4,4,4,3,2,4,1,1,1,2,1,3,1,1,3,2,1,2,2,2,2,2,2,07,104,0001422,2807
0704488,17,1,02,1,1,1,2,3,5,4,4,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,2807
0704488,17,2,01,2,2,2,4,4,5,4,4,5,3,5,1,1,1,1,1,4,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,2807
0704488,18,1,02,2,2,2,3,3,4,4,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,2807
0704488,19,1,01,1,1,2,1,2,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,4211
0704488,20,1,02,2,2,2,1,4,1,5,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001422,4211
0704513,01,1,01,2,2,2,2,3,3,3,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,4070
0704513,02,1,01,2,2,2,2,3,2,2,2,5,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,105,0001423,3052
0704513,03,1,02,1,1,1,1,3,2,2,1,1,3,5,2,2,2,2,1,1,2,2,1,2,3,2,2,1,2,2,2,07,105,0001423,2035
0704513,04,1,02,2,2,2,9,4,4,3,3,5,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,2035
0704513,05,1,01,2,1,2,3,4,5,3,2,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,1776
0704513,06,1,02,1,1,1,4,4,5,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,1776
0704513,07,1,02,1,1,2,3,3,4,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,1776
0704513,08,1,02,2,2,2,2,4,4,4,4,5,2,2,1,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,3551
0704513,09,1,03,1,1,2,2,4,4,3,1,1,3,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,07,105,0001423,4070
0704513,10,1,05,2,2,2,1,4,5,4,2,1,2,5,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,5327
0704513,11,1,02,2,2,2,3,4,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,2664
0704513,12,1,01,2,2,2,4,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,105,0001423,2035
0704513,13,1,02,2,1,2,4,4,4,4,3,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,07,105,0001423,1776
0704513,14,1,01,1,1,1,3,1,3,2,1,5,3,3,1,3,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,07,105,0001423,888
0704513,15,1,01,2,2,2,3,4,4,3,2,5,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,2035
0704513,16,1,01,1,2,2,3,4,4,3,3,5,3,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,07,105,0001423,1017
0704513,17,1,02,2,2,2,3,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,1776
0704513,18,1,01,2,2,1,3,4,4,4,2,5,2,3,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,105,0001423,3551
0704513,19,1,03,2,2,2,1,4,4,4,4,4,1,5,2,4,4,3,4,3,1,2,4,2,3,2,2,2,2,2,2,07,105,0001423,2664
0704513,20,1,02,2,2,2,3,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,105,0001423,1776
0704601,01,1,01,1,2,2,2,2,4,2,1,1,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,07,104,0001424,3904
0704601,02,1,03,1,1,1,2,3,2,4,3,3,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001424,3904
0704601,03,1,02,2,2,1,2,3,5,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,104,0001424,2271
0704601,05,1,02,2,2,2,3,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001424,3407
0704601,06,1,01,1,1,2,3,3,5,3,3,3,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001424,1136
0704601,07,1,01,2,2,2,4,4,5,9,4,5,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,104,0001424,2603
0704601,08,1,01,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,07,104,0001424,1136
0704601,09,1,03,2,2,2,2,4,3,5,4,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,07,104,0001424,5206
0704601,10,1,02,1,2,2,2,2,2,3,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001424,2271
0704601,11,1,02,1,1,2,2,2,2,3,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,07,104,0001424,2271
0704601,13,1,01,2,1,2,3,3,4,3,4,4,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,104,0001424,2603
0704601,15,1,01,1,2,2,2,4,4,2,2,5,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,2,2,2,07,104,0001424,1301
0704601,16,1,02,2,2,2,2,4,5,2,2,5,1,5,1,1,1,1,2,3,1,2,1,1,1,2,2,2,2,2,2,07,104,0001424,2271
0704601,17,1,01,2,2,2,3,4,4,3,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,104,0001424,2603
0704601,18,1,01,2,2,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,104,0001424,3904
0704614,01,1,03,2,2,2,1,4,5,3,2,3,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,100,0001425,11785
0704614,02,1,03,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,07,100,0001425,9821
0704614,02,2,01,2,2,2,9,4,4,5,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,100,0001425,4502
0704614,04,1,04,9,9,9,9,3,5,4,3,5,3,5,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,07,100,0001425,7857
0704614,05,1,01,2,2,2,9,4,5,3,3,5,2,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,100,0001425,2251
0704627,01,1,01,2,1,2,3,1,1,1,1,1,2,3,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,07,093,0001426,3007
0704627,02,1,01,1,1,1,2,2,4,4,3,3,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,07,093,0001426,3007
0704627,03,1,01,1,1,1,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,093,0001426,3007
0704627,04,1,01,1,1,2,3,3,5,5,5,3,3,4,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,07,093,0001426,6561
0704627,05,1,01,2,2,2,3,2,5,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,093,0001426,4511
0704635,01,1,02,2,2,2,2,2,5,3,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,093,0001427,3855
0704635,02,1,02,2,2,2,3,3,4,3,2,2,3,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,07,093,0001427,2892
0704635,03,1,01,2,2,2,1,4,5,5,3,5,3,4,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,093,0001427,1928
0704635,04,1,01,2,2,2,1,3,3,5,1,5,3,3,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,07,093,0001427,4418
0704635,05,1,03,1,1,1,3,3,3,5,2,2,3,5,1,2,3,3,2,3,2,2,2,3,3,2,2,2,2,2,2,07,093,0001427,2892
0760058,01,1,02,2,2,2,2,4,5,4,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,109,0001428,2366
0760058,02,1,01,2,2,2,3,3,4,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,109,0001428,2366
0760058,03,1,01,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,109,0001428,2711
0760058,04,1,01,2,2,2,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,109,0001428,4067
0760058,05,1,02,2,2,2,4,4,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,2,07,109,0001428,2711
0760058,07,1,03,1,1,1,1,4,3,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,109,0001428,5423
0760058,08,1,02,2,2,1,1,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,109,0001428,2366
0760058,09,1,01,2,1,1,1,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,2,2,2,2,07,109,0001428,4732
0760058,11,1,05,2,2,2,4,4,5,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,07,109,0001428,4732
0760058,12,1,01,1,1,2,1,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,07,109,0001428,2711
0760058,13,1,01,2,2,2,2,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,109,0001428,2711
0760058,14,1,01,1,1,1,1,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,109,0001428,2711
0760058,15,1,01,2,2,1,4,4,4,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,07,109,0001428,2711
0760058,16,1,03,1,1,2,3,4,4,4,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,109,0001428,5423
0760058,17,1,02,1,2,2,1,4,4,3,3,3,1,5,3,1,1,1,1,2,1,3,4,4,1,2,2,2,2,2,2,07,109,0001428,2366
0760058,18,1,03,1,1,1,2,4,4,3,2,1,3,4,1,2,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,07,109,0001428,3549
0760058,19,1,01,2,2,2,3,4,4,4,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,109,0001428,1183
0760058,20,1,01,2,2,2,3,4,4,4,4,4,2,5,1,3,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,07,109,0001428,1183
0760088,01,1,01,2,2,2,9,3,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,07,108,0001429,2253
0760088,02,1,01,1,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,07,108,0001429,2949
0760088,03,1,01,2,2,2,2,2,5,2,1,5,3,5,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,07,108,0001429,2253
0760088,04,1,02,2,2,1,9,4,5,3,3,5,3,5,1,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,07,108,0001429,3932
0760088,05,1,01,2,2,2,3,4,2,3,1,1,2,3,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,07,108,0001429,983
0760088,07,1,02,2,1,1,2,3,3,3,4,5,3,3,1,2,4,1,2,3,2,1,2,3,2,2,1,2,2,2,2,07,108,0001429,5633
0760088,08,1,04,2,2,2,4,1,1,1,1,1,2,1,1,2,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,07,108,0001429,4506
0760088,09,1,02,2,2,2,2,4,5,4,3,5,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,07,108,0001429,1966
0760088,10,1,01,2,2,2,4,4,5,5,4,4,4,5,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,07,108,0001429,983
0760088,13,1,01,2,2,2,2,3,5,3,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,07,108,0001429,983
0760088,14,1,01,2,2,2,1,4,4,2,3,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,07,108,0001429,1127
0760088,15,1,02,1,1,1,1,3,4,3,3,2,3,3,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,07,108,0001429,1966
